homo_node_label,x,y,z,fine_query_x,fine_query_y,fine_query_z,homo_u1,homo_u2,homo_u3,fine_u1,fine_u2,fine_u3,homo_umag,fine_umag,absolute_vector_error,mls_condition_number,mls_support_radius_normalized,pointwise_error_over_fine_peak
23,-2.5,1.5,2.0,-0.5,3.5,-2.0,-0.0460010655224323,0.0336185507476329,-0.1379690021276474,-0.047856434762499234,0.02746897126503916,-0.13743968982702653,0.14927072898485172,0.14810283950784384,0.006445145020968339,59.85873020322041,0.08660252523683125,0.018316779803644778
24,-2.5,2.5,2.0,-0.5,4.5,-2.0,-0.0447591580450534,0.0447591580450534,-0.1410910785198211,-0.04679605981466941,0.04679606444906775,-0.14334036564090472,0.15463976492380757,0.15788034483167204,0.003654757046761394,46.72244464747931,0.11224972500162714,0.010386636738747849
25,-2.5,-2.5,1.0,-0.5,-0.5,-3.0,-0.0439969822764396,-0.0439969822764396,-0.0899442881345748,-0.03618843574488374,-0.03618637589655831,-0.0799655375562801,0.10936838604872111,0.0949396854790105,0.014884704701831755,46.954886942546416,0.11224972181561843,0.042301586322531816
26,-2.5,-1.5,1.0,-0.5,0.5,-3.0,-0.0455359481275081,-0.0157406497746706,-0.0722718313336372,-0.03820119206564935,-0.018398471101248964,-0.07131097370184017,0.08685912865967313,0.08296438865202746,0.007860401267083702,58.75594038148714,0.08774963626623221,0.02233886727281599
27,-2.5,-0.5,1.0,-0.5,1.5,-3.0,-0.046863280236721,-0.0068312147632241,-0.0755758509039878,-0.03951585403097236,-0.0055129641774126995,-0.06951570475646598,0.0891882378430504,0.08015191015569559,0.009614979343983919,58.21519003253559,0.08660253831367895,0.027325290414316573
28,-2.5,0.5,1.0,-0.5,2.5,-3.0,-0.046863280236721,0.0068312147632241,-0.0755758509039878,-0.03942764428492635,0.00551693870088386,-0.06955460023100002,0.0891882378430504,0.08014248660842901,0.009657715218550269,58.84874625651606,0.08660253831367895,0.027446743632452295
29,-2.5,1.5,1.0,-0.5,3.5,-3.0,-0.0455359481275081,0.0157406497746706,-0.0722718313336372,-0.03821468617555484,0.018396721686239497,-0.07129695163254315,0.08685912865967313,0.08295816367537492,0.007848948018693267,59.92063822016874,0.0866025383136789,0.02230631771371041
30,-2.5,2.5,1.0,-0.5,4.5,-3.0,-0.0439969822764396,0.0439969822764396,-0.0899442881345748,-0.03618637467520159,0.0361884379081852,-0.07996553697134166,0.10936838604872111,0.09493968534540052,0.014884704599999332,46.954905878542476,0.1122497218156184,0.04230158603312916
31,-2.5,-2.5,0.0,-0.5,-0.5,-4.0,-1.6957463041410693e-39,-1.6957463041410693e-39,-1.2560823248563756e-38,-0.0016818438499919173,-0.0016818438499919173,-0.001883512440199344,1.2787704709512022e-38,0.0030339440640685775,0.0030339440640685775,37.57152610104117,0.139642406413418,0.008622317291127446
32,-2.5,-1.5,0.0,-0.5,0.5,-4.0,-3.3995724952274354e-39,-1.9163849512444047e-39,-2.2366057526762118e-38,-0.0014023287361067478,-0.00014881416375324918,-0.0007651883333719075,2.2703967796887294e-38,0.0016044266031741074,0.0016044266031741074,46.80355387526468,0.11090535227309485,0.004559700162811006
